"state1","statename1","mi_to_state","state2","statename2"
"10","Delaware",182.549215093932,"42","Pennsylvania"
"10","Delaware",202.14208900526,"51","Virginia"
"10","Delaware",228.428667857601,"09","Connecticut"
"10","Delaware",270.946567830996,"36","New York"
"10","Delaware",273.985239266881,"44","Rhode Island"
"10","Delaware",279.348795907276,"54","West Virginia"
"10","Delaware",301.427998208715,"25","Massachusetts"
"10","Delaware",312.940237706616,"37","North Carolina"
"10","Delaware",378.298124660737,"50","Vermont"
"10","Delaware",380.254938916567,"33","New Hampshire"
"10","Delaware",398.326737314788,"39","Ohio"
"10","Delaware",463.970983465694,"45","South Carolina"
"10","Delaware",543.276232452828,"21","Kentucky"
"10","Delaware",561.847190457619,"23","Maine"
"10","Delaware",581.211952439902,"18","Indiana"
"10","Delaware",626.444211217711,"13","Georgia"
"10","Delaware",635.689946093188,"47","Tennessee"
"10","Delaware",661.623323075555,"26","Michigan"
"10","Delaware",733.448528792456,"17","Illinois"
"10","Delaware",769.657331185847,"01","Alabama"
"10","Delaware",829.761545663355,"55","Wisconsin"
"10","Delaware",829.988258139442,"12","Florida"
"10","Delaware",905.821857307656,"28","Mississippi"
"10","Delaware",917.287063130707,"29","Missouri"
"10","Delaware",969.236269920145,"19","Iowa"
"10","Delaware",978.662688164855,"05","Arkansas"
"10","Delaware",1075.09836597386,"27","Minnesota"
"10","Delaware",1081.20506337627,"22","Louisiana"
"10","Delaware",1230.89467900517,"40","Oklahoma"
"10","Delaware",1233.1747195922,"20","Kansas"
"10","Delaware",1292.16548750988,"31","Nebraska"
"10","Delaware",1327.01478782683,"46","South Dakota"
"10","Delaware",1380.42151485627,"38","North Dakota"
"10","Delaware",1437.93012983847,"48","Texas"
"10","Delaware",1534.48677188059,"72","Puerto Rico"
"10","Delaware",1606.81446951524,"08","Colorado"
"10","Delaware",1685.8710470473,"56","Wyoming"
"10","Delaware",1719.61553827785,"35","New Mexico"
"10","Delaware",1797.97163259014,"30","Montana"
"10","Delaware",1926.71509263955,"49","Utah"
"10","Delaware",2019.00760855627,"04","Arizona"
"10","Delaware",2034.3083009751,"16","Idaho"
"10","Delaware",2186.09333613996,"32","Nevada"
"10","Delaware",2312.46289550026,"53","Washington"
"10","Delaware",2333.91769935438,"41","Oregon"
"10","Delaware",2378.22195419972,"06","California"
"10","Delaware",3476.8486716614,"02","Alaska"
"10","Delaware",4847.21433794114,"15","Hawaii"
"11","District of Columbia",18.6482524709789,"24","Maryland"
"11","District of Columbia",84.5727848849595,"10","Delaware"
"11","District of Columbia",130.955651048011,"51","Virginia"
"11","District of Columbia",144.721981410905,"42","Pennsylvania"
"11","District of Columbia",150.424221613063,"34","New Jersey"
"11","District of Columbia",194.779072669185,"54","West Virginia"
"11","District of Columbia",259.906989668222,"37","North Carolina"
"11","District of Columbia",286.762660623854,"36","New York"
"11","District of Columbia",291.313704995943,"09","Connecticut"
"11","District of Columbia",320.328004516756,"39","Ohio"
"11","District of Columbia",344.140897416579,"44","Rhode Island"
"11","District of Columbia",366.959427103845,"25","Massachusetts"
"11","District of Columbia",407.737539262188,"45","South Carolina"
"11","District of Columbia",421.139719019703,"50","Vermont"
"11","District of Columbia",433.520708662926,"33","New Hampshire"
"11","District of Columbia",458.937482213468,"21","Kentucky"
"11","District of Columbia",499.295123712307,"18","Indiana"
"11","District of Columbia",553.545634541621,"47","Tennessee"
"11","District of Columbia",562.644410783759,"13","Georgia"
"11","District of Columbia",604.313368654678,"26","Michigan"
"11","District of Columbia",619.210690410623,"23","Maine"
"11","District of Columbia",651.719383083411,"17","Illinois"
"11","District of Columbia",695.319262729725,"01","Alabama"
"11","District of Columbia",763.184125577764,"55","Wisconsin"
"11","District of Columbia",785.14973048372,"12","Florida"
"11","District of Columbia",827.235353200356,"28","Mississippi"
"11","District of Columbia",833.272609217917,"29","Missouri"
"11","District of Columbia",891.450870283035,"19","Iowa"
"11","District of Columbia",894.952603832106,"05","Arkansas"
"11","District of Columbia",1003.66443935123,"22","Louisiana"
"11","District of Columbia",1009.59972342196,"27","Minnesota"
"11","District of Columbia",1146.32440147413,"40","Oklahoma"
"11","District of Columbia",1149.80939139954,"20","Kansas"
"11","District of Columbia",1212.6741568082,"31","Nebraska"
"11","District of Columbia",1253.09150147574,"46","South Dakota"
"11","District of Columbia",1313.72588044239,"38","North Dakota"
"11","District of Columbia",1354.79325511716,"48","Texas"
"11","District of Columbia",1524.6218927226,"08","Colorado"
"11","District of Columbia",1564.71911391225,"72","Puerto Rico"
"11","District of Columbia",1608.6534088536,"56","Wyoming"
"11","District of Columbia",1635.14653198839,"35","New Mexico"
"11","District of Columbia",1727.55363580907,"30","Montana"
"11","District of Columbia",1845.56859232116,"49","Utah"
"11","District of Columbia",1934.864901114,"04","Arizona"
"11","District of Columbia",1959.22011367893,"16","Idaho"
"11","District of Columbia",2105.62630194844,"32","Nevada"
"11","District of Columbia",2242.15570740208,"53","Washington"
"11","District of Columbia",2258.88330063658,"41","Oregon"
"11","District of Columbia",2296.55459890198,"06","California"
"11","District of Columbia",3433.88355221272,"02","Alaska"
"11","District of Columbia",4765.01830035929,"15","Hawaii"
"12","Florida",294.496931610161,"13","Georgia"
"12","Florida",385.367932611359,"45","South Carolina"
"12","Florida",396.248011807993,"01","Alabama"
"12","Florida",520.579380347787,"28","Mississippi"
"12","Florida",525.591524206739,"37","North Carolina"
"12","Florida",560.758165492332,"47","Tennessee"
"12","Florida",587.691848755491,"22","Louisiana"
"12","Florida",648.890322239228,"21","Kentucky"
"12","Florida",662.608573770649,"51","Virginia"
"12","Florida",711.516387065696,"54","West Virginia"
"12","Florida",738.272537853085,"05","Arkansas"
"12","Florida",785.14973048372,"11","District of Columbia"
"12","Florida",795.715203478318,"24","Maryland"
"12","Florida",821.00251047114,"18","Indiana"
"12","Florida",826.362037156447,"39","Ohio"
"12","Florida",829.988258139442,"10","Delaware"
"12","Florida",891.267933991955,"17","Illinois"
"12","Florida",894.952962857101,"29","Missouri"
"12","Florida",898.149882728355,"42","Pennsylvania"
"12","Florida",917.414351598092,"34","New Jersey"
"12","Florida",1009.69415412578,"40","Oklahoma"
"12","Florida",1029.76457630793,"48","Texas"
"12","Florida",1057.12225965134,"09","Connecticut"
"12","Florida",1068.53326768794,"36","New York"
"12","Florida",1094.99351461064,"44","Rhode Island"
"12","Florida",1126.9653722716,"25","Massachusetts"
"12","Florida",1127.21354137554,"19","Iowa"
"12","Florida",1145.99000838346,"26","Michigan"
"12","Florida",1149.84068816256,"20","Kansas"
"12","Florida",1187.32360653374,"55","Wisconsin"
"12","Florida",1204.75291340796,"50","Vermont"
"12","Florida",1210.24105589178,"33","New Hampshire"
"12","Florida",1235.04151402324,"72","Puerto Rico"
"12","Florida",1332.21404612681,"31","Nebraska"
"12","Florida",1389.81075222799,"27","Minnesota"
"12","Florida",1390.47093395324,"23","Maine"
"12","Florida",1453.8601680629,"35","New Mexico"
"12","Florida",1477.35797330917,"46","South Dakota"
"12","Florida",1507.57857780732,"08","Colorado"
"12","Florida",1631.64227429425,"38","North Dakota"
"12","Florida",1719.75490957482,"56","Wyoming"
"12","Florida",1761.6283638531,"04","Arizona"
"12","Florida",1827.31383103567,"49","Utah"
"12","Florida",1947.29750480775,"30","Montana"
"12","Florida",2078.45531911176,"16","Idaho"
"12","Florida",2085.52192262757,"32","Nevada"
"12","Florida",2222.97782851557,"06","California"
"12","Florida",2356.65926067996,"41","Oregon"
"12","Florida",2423.32500899402,"53","Washington"
"12","Florida",3874.97502407499,"02","Alaska"
"12","Florida",4580.740290575,"15","Hawaii"
"13","Georgia",171.543176855368,"45","South Carolina"
"13","Georgia",199.034297271136,"01","Alabama"
"13","Georgia",278.734390442908,"47","Tennessee"
"13","Georgia",294.496931610161,"12","Florida"
"13","Georgia",317.37475931674,"37","North Carolina"
"13","Georgia",354.9387741401,"21","Kentucky"
"13","Georgia",362.540328442547,"28","Mississippi"
"13","Georgia",431.808382701228,"51","Virginia"
"13","Georgia",444.560820842053,"54","West Virginia"
"13","Georgia",507.221190021453,"22","Louisiana"
"13","Georgia",527.136958992619,"18","Indiana"
"13","Georgia",539.370919269225,"39","Ohio"
"13","Georgia",541.100028248976,"05","Arkansas"
"13","Georgia",562.644410783759,"11","District of Columbia"
"13","Georgia",577.200691958554,"24","Maryland"
"13","Georgia",606.498017848222,"17","Illinois"
"13","Georgia",626.444211217711,"10","Delaware"
"13","Georgia",643.283411118081,"29","Missouri"
"13","Georgia",649.858716477903,"42","Pennsylvania"
"13","Georgia",709.450095942136,"34","New Jersey"
"13","Georgia",828.33569311642,"36","New York"
"13","Georgia",829.304364901709,"40","Oklahoma"
"13","Georgia",852.215314933964,"26","Michigan"
"13","Georgia",852.220550875858,"09","Connecticut"
